aacode	floorx	SAP_hhsizex
H0454207	52.86	1.774434576
H0454208	118.62	2.857821136
H0454214	52.48	1.763229849
H0454215	76.56	2.394350569
H0454313	62.57	2.053287765
H0454317	35.68	1.296848435
H0454401	62.98	2.064515588
H0454406	55.31	1.846436888
H0454408	80.31	2.468716722
H0454409	87.84	2.59498558
H0454410	62.98	2.064515588
H0454413	45.47	1.558103215
H0454414	66.75	2.164713508
H0454415	69.96	2.245153353
H0461102	37.87	1.350946508
H0461103	89.64	2.620760906
H0461105	141.8	2.92043436
H0461108	62.2	2.043104621
H0461109	54.61	1.825923081
H0461112	65.49	2.131869637
H0461210	44.47	1.529553384
H0461212	63.17	2.069698243
H0461214	42.01	1.460725123
H0461302	52.19	1.754675999
H0461306	45.05	1.546077581
H0461310	58.23	1.931172441
H0461314	49.13	1.66451785
H0461317	90.82	2.636778745
H0461409	89.05	2.612492663
H0461415	56.31	1.875626384
H0462104	81	2.481561203
H0462106	35.14	1.284005153
H0462108	70.72	2.263477185
H0462114	107.43	2.798487261
H0462115	46.65	1.592128262
H0462204	89.53	2.619232582
H0462303	67.49	2.183679508
H0462306	71.26	2.276321904
H0462307	71.14	2.273480191
H0462411	53.66	1.798000668
H0462413	60.28	1.989540058
H0463103	77.77	2.419186539
H0463109	82.28	2.504699683
H0463110	78.13	2.426421496
H0463112	77.94	2.422611879
H0463203	64.57	2.107468913
H0463205	113.91	2.836368923
H0463206	84.46	2.542060841
H0463209	55.63	1.855793662
H0463210	58.11	1.927723309
H0463212	59.38	1.964050972
H0463216	43.51	1.502435031
H0463217	79.91	2.461151251
H0463301	47.37	1.613039157
H0463310	67.66	2.188001777
H0463402	326.08	3.165834
H0463406	65.54	2.133185813
H0463407	53.45	1.791818321
H0463409	63.09	2.067517672
H0464103	78.16	2.427021209
H0464110	108.39	2.804808713
H0464203	44.37	1.526714624
H0464208	39.85	1.402354616
H0464210	72.29	2.300412165
H0464211	83.68	2.528987632
H0464217	48.02	1.63199819
H0464304	48.08	1.6337517
H0464306	102.93	2.765044283
H0464308	37.51	1.341843191
H0464312	72.73	2.310536999
H0464315	75.4	2.369794337
H0464402	61.18	2.01479369
H0464409	197.94	2.999239065
H0471301	38.02	1.354762705
H0481202	69.55	2.235150333
H0481207	21.33	1.043243491
H0481210	46.98	1.601699733
H0481301	79.92	2.461341457
H0481303	65.51	2.132396232
H0481304	54.91	1.834721911
H0481306	98.77	2.727843954
H0481307	57.76	1.917644934
H0481312	70.57	2.259883303
H0481313	82.14	2.502212413
H0481315	79.03	2.444198506
H0481316	85.4	2.557383505
H0481403	74.32	2.346280638
H0482101	91.68	2.648024157
H0482102	54.39	1.819464373
H0482111	71.72	2.28714758
H0482113	91.97	2.651735976
H0482117	73.67	2.331829327
H0482205	62.03	2.038410107
H0482209	33.38	1.243634891
H0482301	82.94	2.516281952
H0482303	82.7	2.51209757
H0482307	94.51	2.682561688
H0482401	118.5	2.857327779
H0482402	94.84	2.686349885
H0482404	122.1	2.871075744
H0482415	52.76	1.77148648
H0482417	72.28	2.300180892
H0482419	71.21	2.27513874
H0483103	65.82	2.140537052
H0483106	52.62	1.767358496
H0483110	53.23	1.785338492
H0483111	55.3	1.846144264
H0483112	41.52	1.447296403
H0483114	79.81	2.459246183
H0483118	40.18	1.411128104
H0483201	52.04	1.750250966
H0483203	82.35	2.50593932
H0483206	112.21	2.827460642
H0483207	80.81	2.478050315
H0483211	42.64	1.478137404
H0483215	41.41	1.444296128
H0483217	43.19	1.493465522
H0483218	57.89	1.92139148
H0483306	85	2.550920719
H0483307	56.37	1.877372768
H0483312	79.32	2.449832105
H0483401	74.83	2.357462117
H0483406	78.04	2.424619402
H0483409	87.45	2.589183329
H0483411	143.57	2.923593761
H0483415	89.39	2.6172787
H0483416	68.61	2.211910916
H0484101	101.41	2.75220068
H0484103	46.3	1.582002008
H0484107	80.37	2.469843982
H0484109	47.14	1.606348307
H0484111	69.81	2.241503212
H0484113	38.22	1.359871785
