code, e1, e2, p1, p2, form, floor_area, level, extract, trickle, extract2, trickle2, fans, horizon, gor_ehs,fuelpov,buildyear,tenure,agehr,rebate
H0192206,852.6372504,852.6372504,11.29856875,11.29856875,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatB,OwnerOccupied,CatE,TRUE
H0192414,488.8076758,488.8076758,16.92982886,16.92982886,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatB,OwnerOccupied,CatE,TRUE
H0193210,330.3469796,330.3469796,11.77891692,11.77891692,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0194103,676.0198158,676.0198158,17.03435961,17.03435961,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0201108,515.9930743,515.9930743,15.83929889,15.83929889,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatE,PrivateRented,CatA,TRUE
H0201311,873.8527526,873.8527526,18.77451178,18.77451178,Detached,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,PrivateRented,CatD,TRUE
H0202111,452.3396643,452.3396643,14.79466283,14.79466283,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatC,PrivateRented,CatE,TRUE
H0202116,372.1859025,372.1859025,20.78680632,20.78680632,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,RSL,CatD,TRUE
H0203101,591.6692901,591.6692901,14.19388374,14.19388374,EndTerrace,9,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatC,OwnerOccupied,CatD,TRUE
H0204109,616.026014,616.026014,19.0684041,19.0684041,MidTerrace,9,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatD,RSL,CatD,TRUE
H0204111,459.916993,459.916993,9.883229422,9.883229422,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,OwnerOccupied,CatF,TRUE
H0211105,121.8816469,121.8816469,8.393105819,8.393105819,PurposeBuiltFlatLowRise,9,2,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0213207,363.7346601,363.7346601,9.014057844,9.014057844,Bungalow,9,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatE,PrivateRented,CatB,TRUE
H0213212,143.2056428,143.2056428,9.291693759,9.291693759,PurposeBuiltFlatLowRise,9,1,FALSE,TRUE,TRUE,TRUE,5,1,3,FALSE,CatD,OwnerOccupied,CatC,TRUE
H0213313,495.1955984,495.1955984,24.08668441,24.08668441,Detached,9,4,TRUE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatD,OwnerOccupied,CatC,TRUE
H0213402,610.8338027,610.8338027,15.75705282,15.75705282,MidTerrace,9,4,TRUE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatD,OwnerOccupied,CatD,TRUE
