Pollutant,Dwelling Type,Ventilation Type,b4,b3,b2,b1,b0
ETS,House6,T,1.2633949629350296e-05,-0.0010904797061650068,0.03641060152057264,-0.6226659465018423,7.681081087703803
ETS,House6,NOTE,8.168650658388845e-05,-0.006493159776982964,0.18896202706171783,-2.5155455837192364,17.72201623226079
ETS,House7,TE,1.5462661572231278e-05,-0.001313787822262855,0.04284459805466831,-0.7100790255742251,8.598759453366652
ETS,House7,E,6.362413225133368e-05,-0.005215521253237785,0.15867645205413336,-2.24716558355377,17.133548534213542
ETS,House7,T,1.6576804495739417e-05,-0.001413572160333365,0.046543688130275096,-0.7852236421489162,9.428417369469466
ETS,House7,NOTE,0.00010774461646677763,-0.008597236965883116,0.2511545803007068,-3.3320319044932183,22.177729365010578
OUTPM2_5,Flat1,TE,-3.453911123927012e-07,3.9164044544940314e-05,-0.002298855093522314,0.11891844710914719,4.997307389036063
OUTPM2_5,Flat1,E,-5.278970157495645e-07,5.9363877302648436e-05,-0.003455903864138615,0.16703056366135238,3.5648030415914262
OUTPM2_5,Flat1,T,-1.1366866043114442e-06,0.00011260563663582402,-0.005231987602747797,0.19274470051711307,3.722223029286853
OUTPM2_5,Flat1,NOTE,-9.763308035837672e-07,0.00011852131713568943,-0.006794134728218185,0.27404431907167626,1.5985778434556688
OUTPM2_5,Flat2,TE,-2.5026800755222784e-07,2.7736204207399525e-05,-0.001758818488664806,0.10030749104757226,5.455014049940954
OUTPM2_5,Flat2,E,-3.5827823481466634e-07,4.45457536545054e-05,-0.0028557642429968455,0.1435351298423239,4.318300944961694
OUTPM2_5,Flat2,T,-3.18384249970386e-07,3.4273032622258866e-05,-0.0021444662763743395,0.12128698807897509,4.585980885432754
OUTPM2_5,Flat2,NOTE,-3.5827823481466634e-07,4.45457536545054e-05,-0.0028557642429968455,0.1435351298423239,4.318300944961694
OUTPM2_5,Flat3,TE,1.0509182428005555e-06,-7.90179277517902e-05,0.0016060736908309482,0.05017540344067111,3.8882469785798945
OUTPM2_5,Flat3,E,-1.443043941673167e-07,1.7531621873308107e-05,-0.0011412345151252529,0.07913490885732695,3.5493886529122967
OUTPM2_5,Flat3,T,8.15005623836468e-07,-5.3612745579430234e-05,0.00041197276705047655,0.09274486523696515,2.378073547849987
OUTPM2_5,Flat3,NOTE,-3.173438126994554e-07,3.2775639847071604e-05,-0.0017830639985542689,0.1083027297515399,2.1018251418639937
OUTPM2_5,House1,TE,-3.796814866783791e-06,0.0003692428073582991,-0.014788692706356948,0.34484722342313545,4.84483495364112
OUTPM2_5,House1,E,-5.149180183121506e-06,0.0005193652389778204,-0.021542634947810255,0.5028050098301128,2.7602235129743287
OUTPM2_5,House1,T,-4.86292291073536e-06,0.000457484774200779,-0.017544864335864496,0.38670013739851206,4.491234179854634
OUTPM2_5,House1,NOTE,-8.616659991309808e-06,0.000805639747841877,-0.03029546622815975,0.6255397016547537,1.989784898594643
OUTPM2_5,House2,TE,-3.8564853814773645e-06,0.00035962780537278404,-0.01358414807665605,0.3001439238616816,4.439329138510939
OUTPM2_5,House2,E,-5.4050579733598705e-06,0.0005029856155005671,-0.018912105573914803,0.4080199854760109,2.857473675219875
OUTPM2_5,House2,T,-5.942166342862927e-06,0.000530709413470372,-0.018847156684215806,0.3776607634546452,3.8306470090092803
OUTPM2_5,House2,NOTE,-8.64338181159323e-06,0.0007711662706450312,-0.027240717025237733,0.5308126653467667,1.9496406878213748
OUTPM2_5,House3,TE,-4.307983169088492e-06,0.0004154721110996361,-0.016575173506500753,0.386607669735096,4.818672368553663
OUTPM2_5,House3,E,-6.284453941057021e-06,0.0006073502252239124,-0.0240778741334853,0.5392851562826239,3.148936574280076
OUTPM2_5,House3,T,-6.126645130320985e-06,0.0005685716675006545,-0.021454874115776047,0.4612863013654756,4.2680427306269575
OUTPM2_5,House3,NOTE,-1.0694758340168777e-05,0.0009828249973148078,-0.03608346731396574,0.719132233453091,1.8614128844399012
