Pollutant,Dwelling Type,Ventilation Type,"B4 (45, 45, 10)",b3,b2,b1,b0,"B4 (55, 45, 0)",b3,b2,b1,b0,"B4 (21, 33, 8)",b3,b2,b1,b0,"B4 (29, 33, 0)",b3,b2,b1,b0
INPM2_5,House1,TE,2.32731612227555E-006,-0.0002052308,0.007222072,-0.1452897239,3.8009867803,2.10110363836441E-006,-0.0001823957,0.0062529792,-0.1179510676,2.0704055757,1.80566232500684E-006,-0.0001590503,0.0055546211,-0.1090613556,2.8295927692,1.61790596336066E-006,-0.0001400972,0.0047502742,-0.0863702709,1.3932103694
INPM2_5,House1,E,2.89579832553463E-006,-0.0002698053,0.0100691276,-0.2073033568,4.5412876131,3.63656465777202E-006,-0.000318491,0.0108760648,-0.1943202802,2.7187774329,0.000002238,-0.000209029,0.0077789111,-0.1574658987,3.4085360274,2.85279427424377E-006,-0.0002494381,0.008448669,-0.1466899452,1.8958525777
INPM2_5,House1,T,6.28374589758454E-006,-0.0005726381,0.0210662584,-0.432906192,8.7522459019,5.70311070047504E-006,-0.000514921,0.0186915808,-0.3704675386,5.8629756224,4.43873015129303E-006,-0.0004063482,0.0150082202,-0.3103947825,6.4616324272,3.95680293769236E-006,-0.000358443,0.0130372377,-0.2585707003,4.0635380952
INPM2_5,House1,NOTE,5.78016855526775E-006,-0.0005243546,0.0190532275,-0.3767434678,7.1330275382,6.53093468428253E-006,-0.000564968,0.0192662738,-0.3462885616,4.8371027679,4.25607572576867E-006,-0.0003872751,0.0140587744,-0.2765907089,5.272412268,4.87921161285102E-006,-0.0004209842,0.0142356029,-0.2513131367,3.3667947087
INPM2_5,House2,TE,2.86285239901707E-006,-0.0002565566,0.0091037263,-0.1779158307,4.7641204904,2.24174583482585E-006,-0.0002026966,0.0072768196,-0.1422324,2.7552157589,2.10989810678316E-006,-0.0001881825,0.0066321818,-0.12883243,3.5708496014,1.59437965850459E-006,-0.0001434787,0.0051158492,-0.0992151825,1.9034586743
INPM2_5,House2,E,0.000003951,-0.0003625592,0.0130441588,-0.2484608893,5.4980670375,2.4655708160271E-006,-0.0002372925,0.0090627823,-0.1833912252,3.2577300244,3.10859174476085E-006,-0.0002822817,0.010004341,-0.1868196544,4.151062447,1.87569328156604E-006,-0.0001783103,0.0066997984,-0.1328118331,2.2915827262
INPM2_5,House2,T,1.00656458386996E-005,-0.0008869638,0.0304898589,-0.5609622585,11.5100011274,9.03954528032954E-006,-0.0007965238,0.0273142603,-0.4918543733,8.0132783795,6.81643941761661E-006,-0.0006030291,0.0208831981,-0.3911286755,8.4289111323,5.96477595416937E-006,-0.0005279639,0.0182474513,-0.3337691308,5.5266312515
INPM2_5,House2,NOTE,1.35502193614251E-005,-0.0012073069,0.0418737071,-0.7609793009,13.599467288,0.000010144,-0.0009296795,0.0333384873,-0.6217717767,9.5811974106,9.67020989683725E-006,-0.0008608745,0.0298548137,-0.5452295856,10.0049110013,0.000006843,-0.0006304438,0.0227705813,-0.4296873405,6.669747003
INPM2_5,House3,TE,2.05977479421789E-006,-0.0001881659,0.0068874548,-0.1450623696,4.0179255661,1.78562775612123E-006,-0.0001628695,0.0058219364,-0.1084951015,1.7109790299,1.70320968328674E-006,-0.0001543638,0.0055630159,-0.1134626099,3.1079878911,1.4756676416666E-006,-0.0001333678,0.0046786356,-0.0831117774,1.193222266
INPM2_5,House3,E,3.78328051077789E-006,-0.0003359609,0.0118400519,-0.2292121407,4.7940069517,2.51471099850094E-006,-0.0002334787,0.0086409616,-0.1666153593,2.2809561037,3.23220741185881E-006,-0.0002844621,0.0098251533,-0.1823735828,3.6960631544,2.17929471666884E-006,-0.0001994018,0.0071699084,-0.1304182542,1.6102309505
INPM2_5,House3,T,7.94052331294481E-006,-0.0007283766,0.0273946177,-0.6076318117,13.154520563,7.13338223398614E-006,-0.0006518053,0.0240791319,-0.4982114231,8.2673397861,5.59630324121574E-006,-0.0005141293,0.0194018073,-0.4357151586,9.8129957076,4.92637614567968E-006,-0.0004505751,0.0166499541,-0.3448962361,5.7566356627
